Gene Name ;Protein group ;Euclidean Distance from REPLICOME;Q-VALUE from REPLICOME;Euclidean Distance from ER;Q-VALUE from ER;RISULTATO;DELTA DISTANZA ;Organism;Final Organelle;PREDICTED LOCALIZATION IN INF (analisi 15 con proteine virali);Protein description
NFS1;Q9Y697;0,8718432;1,29E-02;0,6864497;5,59E-03;Vicino all'ER;0,1853935;Homo sapiens;;Mitochondria;Cysteine desulfurase
NFU1;Q9UMS0;1,111742;6,40E-02;0,8879609;2,94E-02;Vicino all'ER;0,2237811;Homo sapiens;Mitochondria;Mitochondria;NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
NFX1;Q12986;1,647519;7,31E-01;1,469982;7,10E-01;Vicino all'ER;0,177537;Homo sapiens;;Translation;Transcriptional repressor NF-X1
NFXL1;Q6ZNB6;0,3463877;0,00E+00;0,4190523;2,40E-04;Vicino al REPLICOMA;0,0726646;Homo sapiens;ER;ER;NF-X1-type zinc finger protein NFXL1
NFYB;"F8VSL3;P25208";1,091357;5,68E-02;0,9044731;3,30E-02;Vicino all'ER;0,1868839;Homo sapiens;;Nucleus;Nuclear transcription factor Y subunit beta
NFYC;"E9PI99;Q13952;Q5T6K5;Q5T6K7";1,116019;6,54E-02;1,107883;1,39E-01;Vicino all'ER;0,008136;Homo sapiens;;Nucleus;"Nuclear transcription factor Y subunit gamma (Fragment);Nuclear transcription factor Y subunit gamma;Nuclear transcription factor Y subunit gamma (Fragment);Nuclear transcription factor Y subunit gamma (Fragment)"
NGDN;"A0A8V8TRJ3;H0YJQ1;Q8NEJ9";0,9252522;1,90E-02;0,7688586;1,10E-02;Vicino all'ER;0,1563936;Homo sapiens;Nucleus;Mitochondria;Neuroguidin
NHEJ1;"H7C0G7;Q9H9Q4";2,173441;1,00E+00;1,931155;1,00E+00;Vicino all'ER;0,242286;Homo sapiens;;Cytoplasm;"Non-homologous end joining factor 1;Non-homologous end-joining factor 1"
NHERF1;O14745;1,951118;1,00E+00;1,730256;1,00E+00;Vicino all'ER;0,220862;Homo sapiens;;Cytoplasm;Na(+)/H(+) exchange regulatory cofactor NHE-RF1
NHERF2;Q15599;0,7621413;6,04E-03;0,5035636;7,02E-04;Vicino all'ER;0,2585777;Homo sapiens;;Mitochondria;Na(+)/H(+) exchange regulatory cofactor NHE-RF2
NHLRC2;Q8NBF2;2,05148;1,00E+00;1,808894;1,00E+00;Vicino all'ER;0,242586;Homo sapiens;;Cytoplasm;NHL repeat-containing protein 2
NHLRC3;Q5JS37;1,518595;4,85E-01;1,417422;6,03E-01;Vicino all'ER;0,101173;Homo sapiens;;Cytoplasm;NHL repeat-containing protein 3
NHP2;Q9NX24;1,00359;3,32E-02;0,9453182;4,63E-02;Vicino all'ER;0,0582718;Homo sapiens;;Nucleus;H/ACA ribonucleoprotein complex subunit 2
NHSL1;Q5SYE7;2,103961;1,00E+00;1,877478;1,00E+00;Vicino all'ER;0,226483;Homo sapiens;;Translation;NHS-like protein 1
NHSL3;Q9P206;2,090973;1,00E+00;1,859526;1,00E+00;Vicino all'ER;0,231447;Homo sapiens;;protein-complex;NHS-like protein 3
NIBAN1;Q9BZQ8;1,827171;1,00E+00;1,654229;1,00E+00;Vicino all'ER;0,172942;Homo sapiens;Cytoplasm;Cytoplasm;Protein Niban 1
NIBAN2;Q96TA1;2,054842;1,00E+00;1,817186;1,00E+00;Vicino all'ER;0,237656;Homo sapiens;Cytoplasm;Cytoplasm;Protein Niban 2
NID1;P14543;0,6690769;2,91E-03;0,6023182;2,32E-03;Vicino all'ER;0,0667587;Homo sapiens;;ER;Nidogen-1
NID2;Q14112;1,015943;3,57E-02;0,8767995;2,72E-02;Vicino all'ER;0,1391435;Homo sapiens;;Nucleus;Nidogen-2
NIF3L1;Q9GZT8;2,071761;1,00E+00;1,824785;1,00E+00;Vicino all'ER;0,246976;Homo sapiens;;Cytoplasm;NIF3-like protein 1
NIFK;Q9BYG3;0,8706902;1,29E-02;0,8039485;1,47E-02;Vicino all'ER;0,0667417;Homo sapiens;;Nucleus;MKI67 FHA domain-interacting nucleolar phosphoprotein
NIP7;Q9Y221;1,244487;1,35E-01;1,160807;1,85E-01;Vicino all'ER;0,08368;Homo sapiens;;Nucleus;60S ribosome subunit biogenesis protein NIP7 homolog
NIPBL;"A0A590UJS4;Q6KC79";1,396834;2,93E-01;1,241834;2,87E-01;Vicino all'ER;0,155;Homo sapiens;Nucleus;Nucleus;"Nipped-B protein;Nipped-B-like protein"
NIPSNAP1;Q9BPW8;0,8132926;8,78E-03;0,6253146;2,92E-03;Vicino all'ER;0,187978;Homo sapiens;Mitochondria;Mitochondria;Protein NipSnap homolog 1
NIPSNAP2;O75323;0,6685803;2,89E-03;0,5906482;2,08E-03;Vicino all'ER;0,0779321;Homo sapiens;Mitochondria;Mitochondria;Protein NipSnap homolog 2
NIPSNAP3A;Q9UFN0;0,885897;1,42E-02;0,8161864;1,63E-02;Vicino all'ER;0,0697106;Homo sapiens;Mitochondria;Mitochondria;Protein NipSnap homolog 3A
NISCH;Q9Y2I1;1,99685;1,00E+00;1,730906;1,00E+00;Vicino all'ER;0,265944;Homo sapiens;;Cytoplasm;Nischarin
NIT1;Q86X76;2,11493;1,00E+00;1,867815;1,00E+00;Vicino all'ER;0,247115;Homo sapiens;Cytoplasm;Cytoplasm;Deaminated glutathione amidase
NIT2;Q9NQR4;1,96365;1,00E+00;1,719404;1,00E+00;Vicino all'ER;0,244246;Homo sapiens;Cytoplasm;Cytoplasm;Omega-amidase NIT2
NKAP;"A0A494C050;Q8N5F7";1,056805;4,59E-02;1,012507;7,54E-02;Vicino all'ER;0,044298;Homo sapiens;;Nucleus;"NFKB activating protein (Fragment);NF-kappa-B-activating protein"
NKIRAS1;"G5E9P3;Q9NYS0";2,113065;1,00E+00;1,870847;1,00E+00;Vicino all'ER;0,242218;Homo sapiens;Cytoplasm;Cytoplasm;"NFKB inhibitor interacting Ras like 1;NF-kappa-B inhibitor-interacting Ras-like protein 1"
NKIRAS2;"H7BXP1;Q9NYR9";2,185844;1,00E+00;1,936826;1,00E+00;Vicino all'ER;0,249018;Homo sapiens;;Cytoplasm;"NFKB inhibitor interacting Ras like 2;NF-kappa-B inhibitor-interacting Ras-like protein 2"
NLE1;Q9NVX2;1,832331;1,00E+00;1,667098;1,00E+00;Vicino all'ER;0,165233;Homo sapiens;;Nucleus;Notchless protein homolog 1
NLGN2;Q8NFZ4;1,180294;9,40E-02;1,212827;2,46E-01;Vicino al REPLICOMA;0,032533;Homo sapiens;;PM;Neuroligin-2
NLN;Q9BYT8;1,322573;2,04E-01;1,158407;1,83E-01;Vicino all'ER;0,164166;Homo sapiens;Mitochondria;Mitochondria;Neurolysin, mitochondrial
NMD3;"C9JA08;Q96D46";1,529808;5,05E-01;1,465431;7,02E-01;Vicino all'ER;0,064377;Homo sapiens;;Translation;60S ribosomal export protein NMD3
NME1;P15531;2,079752;1,00E+00;1,829952;1,00E+00;Vicino all'ER;0,2498;Homo sapiens;Cytoplasm;Cytoplasm;Nucleoside diphosphate kinase A
NME1-NME2;Q32Q12;2,099427;1,00E+00;1,85616;1,00E+00;Vicino all'ER;0,243267;Homo sapiens;Cytoplasm;Cytoplasm;Nucleoside diphosphate kinase
NME2;P22392;2,088588;1,00E+00;1,842578;1,00E+00;Vicino all'ER;0,24601;Homo sapiens;Cytoplasm;Cytoplasm;Nucleoside diphosphate kinase B
NME2P1;O60361;2,070925;1,00E+00;1,833921;1,00E+00;Vicino all'ER;0,237004;Homo sapiens;;Cytoplasm;Putative nucleoside diphosphate kinase
NME3;Q13232;1,938955;1,00E+00;1,71044;1,00E+00;Vicino all'ER;0,228515;Homo sapiens;Mitochondria;Cytoplasm;Nucleoside diphosphate kinase 3
NME4;"F2Z2X0;O00746;Q4TT34";0,6336244;2,18E-03;0,7493139;9,47E-03;Vicino al REPLICOMA;0,1156895;Homo sapiens;Mitochondria;Mitochondria;"Nucleoside diphosphate kinase;Nucleoside diphosphate kinase, mitochondrial;Nucleoside diphosphate kinase"
NME7;Q9Y5B8;2,204199;1,00E+00;1,936486;1,00E+00;Vicino all'ER;0,267713;Homo sapiens;;Cytoplasm;Nucleoside diphosphate kinase homolog 7
NMI;Q13287;1,879805;1,00E+00;1,647665;1,00E+00;Vicino all'ER;0,23214;Homo sapiens;Cytoplasm;Cytoplasm;N-myc-interactor
NMNAT1;Q9HAN9;0,5595934;8,85E-04;0,4753968;4,50E-04;Vicino all'ER;0,0841966;Homo sapiens;;ER;Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
NMRAL1;"I3L1Y8;Q9HBL8";1,587468;6,16E-01;1,374765;5,16E-01;Vicino all'ER;0,212703;Homo sapiens;;Nucleus;"NmrA-like family domain-containing protein 1 (Fragment);NmrA-like family domain-containing protein 1"
NMT1;"A0A7I2V539;P30419";2,102716;1,00E+00;1,87695;1,00E+00;Vicino all'ER;0,225766;Homo sapiens;;Translation;"Glycylpeptide N-tetradecanoyltransferase;Glycylpeptide N-tetradecanoyltransferase 1"
NMT2;O60551;2,352606;1,00E+00;2,119888;1,00E+00;Vicino all'ER;0,232718;Homo sapiens;;Cytoplasm;Glycylpeptide N-tetradecanoyltransferase 2
NNMT;P40261;2,099922;1,00E+00;1,854438;1,00E+00;Vicino all'ER;0,245484;Homo sapiens;;Cytoplasm;Nicotinamide N-methyltransferase
NNT;Q13423;0,9100121;1,68E-02;0,6913458;5,79E-03;Vicino all'ER;0,2186663;Homo sapiens;Mitochondria;Mitochondria;NAD(P) transhydrogenase, mitochondrial
NOA1;Q8NC60;0,6466559;2,47E-03;0,4973352;6,43E-04;Vicino all'ER;0,1493207;Homo sapiens;Mitochondria;Mitochondria;Nitric oxide-associated protein 1
NOB1;Q9ULX3;2,087438;1,00E+00;1,867316;1,00E+00;Vicino all'ER;0,220122;Homo sapiens;;protein-complex;RNA-binding protein NOB1
NOC2L;Q9Y3T9;1,134476;7,22E-02;0,9697323;5,55E-02;Vicino all'ER;0,1647437;Homo sapiens;;Nucleus;Nucleolar complex protein 2 homolog
NOC3L;Q8WTT2;1,255785;1,43E-01;1,145088;1,71E-01;Vicino all'ER;0,110697;Homo sapiens;Nucleus;Nucleus;Nucleolar complex protein 3 homolog
NOC4L;Q9BVI4;1,261491;1,48E-01;1,092731;1,28E-01;Vicino all'ER;0,16876;Homo sapiens;Nucleus;Nucleus;Nucleolar complex protein 4 homolog
NOL10;Q9BSC4;1,104635;6,13E-02;0,9607605;5,19E-02;Vicino all'ER;0,1438745;Homo sapiens;;Nucleus;Nucleolar protein 10
NOL11;Q9H8H0;1,236933;1,29E-01;1,174708;2,00E-01;Vicino all'ER;0,062225;Homo sapiens;;Nucleus;Nucleolar protein 11
NOL3;"H3BM67;H3BUN4;H3BUP2;O60936";2,108175;1,00E+00;1,861798;1,00E+00;Vicino all'ER;0,246377;Homo sapiens;Cytoplasm;Cytoplasm;"Nucleolar protein 3 (Fragment);Nucleolar protein 3;Nucleolar protein 3 (Fragment);Nucleolar protein 3"
NOL6;Q9H6R4;1,144316;7,63E-02;1,046431;9,50E-02;Vicino all'ER;0,097885;Homo sapiens;;Nucleus;Nucleolar protein 6
NOL7;Q9UMY1;1,393797;2,87E-01;1,247562;2,97E-01;Vicino all'ER;0,146235;Homo sapiens;;Nucleus;U3 small nucleolar RNA-associated protein NOL7
NOL9;Q5SY16;1,167081;8,75E-02;1,055146;1,01E-01;Vicino all'ER;0,111935;Homo sapiens;;Nucleus;Polynucleotide 5'-hydroxyl-kinase NOL9
NOLC1;Q14978;1,051851;4,43E-02;0,9764581;5,85E-02;Vicino all'ER;0,0753929;Homo sapiens;Nucleus;Nucleus;Nucleolar and coiled-body phosphoprotein 1
NOM1;Q5C9Z4;1,351882;2,36E-01;1,215639;2,50E-01;Vicino all'ER;0,136243;Homo sapiens;;Nucleus;Nucleolar MIF4G domain-containing protein 1
NOMO1;"A0A0G2JN29;Q15155";0,7448435;5,24E-03;0,8251213;1,74E-02;Vicino al REPLICOMA;0,0802778;Homo sapiens;;ER;"Nodal modulator 1;BOS complex subunit NOMO1"
NOMO2;Q5JPE7;0,8848759;1,42E-02;0,8321909;1,88E-02;Vicino all'ER;0,052685;Homo sapiens;ER;Mitochondria;BOS complex subunit NOMO2
NONO;"A0A7I2V5Y7;Q15233";0,7651162;6,20E-03;0,7264125;7,93E-03;Vicino all'ER;0,0387037;Homo sapiens;Nucleus;Nucleus;"Non-POU domain containing octamer binding;Non-POU domain-containing octamer-binding protein"
NOP10;Q9NPE3;0,7959872;7,73E-03;0,7524803;9,69E-03;Vicino all'ER;0,0435069;Homo sapiens;Nucleus;Nucleus;H/ACA ribonucleoprotein complex subunit 3
NOP14;P78316;0,8977601;1,55E-02;0,8100856;1,54E-02;Vicino all'ER;0,0876745;Homo sapiens;;Nucleus;Nucleolar protein 14
NOP16;Q9Y3C1;1,000304;3,26E-02;0,8846711;2,88E-02;Vicino all'ER;0,1156329;Homo sapiens;;Nucleus;Nucleolar protein 16
NOP2;P46087;0,7232464;4,40E-03;0,7175491;7,31E-03;Vicino all'ER;0,0056973;Homo sapiens;Nucleus;ER;Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase
NOP53;Q9NZM5;0,8746223;1,32E-02;0,818489;1,66E-02;Vicino all'ER;0,0561333;Homo sapiens;;Nucleus;Ribosome biogenesis protein NOP53
NOP56;O00567;0,7319785;4,72E-03;0,7147129;7,13E-03;Vicino all'ER;0,0172656;Homo sapiens;Nucleus;Mitochondria;Nucleolar protein 56
NOP58;Q9Y2X3;0,7301795;4,66E-03;0,7830489;1,23E-02;Vicino al REPLICOMA;0,0528694;Homo sapiens;;Nucleus;Nucleolar protein 58
NOP9;"A0A3B3ISH6;Q86U38";1,195569;1,02E-01;1,068607;1,11E-01;Vicino all'ER;0,126962;Homo sapiens;;Nucleus;"NOP9 nucleolar protein (Fragment);Nucleolar protein 9"
NOSIP;Q9Y314;2,059844;1,00E+00;1,855626;1,00E+00;Vicino all'ER;0,204218;Homo sapiens;;Translation;Nitric oxide synthase-interacting protein
NOTCH1;"A0A7P0T8U6;A0A7P0T8W1;A0A7P0TB20;P46531";1,783173;9,67E-01;1,597086;9,55E-01;Vicino all'ER;0,186087;Homo sapiens;;Cytoplasm;Neurogenic locus notch homolog protein 1
NOTCH2;Q04721;1,27895;1,64E-01;1,131757;1,59E-01;Vicino all'ER;0,147193;Homo sapiens;PM;PM;Neurogenic locus notch homolog protein 2
NOTCH3;Q9UM47;1,569875;5,83E-01;1,354349;4,78E-01;Vicino all'ER;0,215526;Homo sapiens;;Cytoplasm;Neurogenic locus notch homolog protein 3
NPC1;O15118;1,102521;6,06E-02;0,9596756;5,17E-02;Vicino all'ER;0,1428454;Homo sapiens;ER;Lysosome;NPC intracellular cholesterol transporter 1
NPC2;P61916;1,280618;1,64E-01;1,153812;1,79E-01;Vicino all'ER;0,126806;Homo sapiens;Lysosome;PM;NPC intracellular cholesterol transporter 2
NPEPL1;Q8NDH3;1,83432;1,00E+00;1,57262;9,05E-01;Vicino all'ER;0,2617;Homo sapiens;;Cytoplasm;Probable aminopeptidase NPEPL1
NPEPPS;"E9PLK3;P55786";2,079697;1,00E+00;1,843096;1,00E+00;Vicino all'ER;0,236601;Homo sapiens;Cytoplasm;Cytoplasm;"Aminopeptidase;Puromycin-sensitive aminopeptidase"
NPHP3;Q7Z494;2,275961;1,00E+00;2,066469;1,00E+00;Vicino all'ER;0,209492;Homo sapiens;;Translation;Nephrocystin-3
NPLOC4;A0A994J7H4;1,805542;1,00E+00;1,58494;9,31E-01;Vicino all'ER;0,220602;Homo sapiens;Cytoplasm;protein-complex;NPL4 homolog, ubiquitin recognition factor
NPLOC4;Q8TAT6;2,044619;1,00E+00;1,804227;1,00E+00;Vicino all'ER;0,240392;Homo sapiens;Cytoplasm;Cytoplasm;Nuclear protein localization protein 4 homolog
NPM1;"A0A7I2YQC0;P06748";0,7476857;5,35E-03;0,7423059;9,05E-03;Vicino all'ER;0,0053798;Homo sapiens;Nucleus;Nucleus;Nucleophosmin
NPM3;O75607;0,8557022;1,15E-02;0,7691468;1,10E-02;Vicino all'ER;0,0865554;Homo sapiens;;Nucleus;Nucleoplasmin-3
NPR2;"A0A8I5KSX8;A0A8I5KT66;A0A8I5KTF2;P20594";1,111214;6,37E-02;1,037372;9,00E-02;Vicino all'ER;0,073842;Homo sapiens;PM;PM;"Guanylate cyclase;Guanylate cyclase;Guanylate cyclase;Atrial natriuretic peptide receptor 2"
NPRL3;"B7Z6Q0;Q12980";2,063026;1,00E+00;1,832268;1,00E+00;Vicino all'ER;0,230758;Homo sapiens;;protein-complex;"GATOR complex protein NPRL3;GATOR1 complex protein NPRL3"
NPTN;"Q9UFM8;Q9Y639";1,064596;4,82E-02;0,9714085;5,61E-02;Vicino all'ER;0,0931875;Homo sapiens;;PM;"Neuroplastin (Fragment);Neuroplastin"
NPTX1;Q15818;1,443953;3,60E-01;1,156822;1,82E-01;Vicino all'ER;0,287131;Homo sapiens;;Golgi apparatus;Neuronal pentraxin-1
NQO1;P15559;2,069005;1,00E+00;1,825772;1,00E+00;Vicino all'ER;0,243233;Homo sapiens;Cytoplasm;Cytoplasm;NAD(P)H dehydrogenase [quinone] 1
NQO2;"P16083;Q5TD07";1,991145;1,00E+00;1,716764;1,00E+00;Vicino all'ER;0,274381;Homo sapiens;Cytoplasm;Cytoplasm;"Ribosyldihydronicotinamide dehydrogenase [quinone];N-ribosyldihydronicotinamide:quinone reductase 2"
NR2C2AP;Q86WQ0;2,117674;1,00E+00;1,876791;1,00E+00;Vicino all'ER;0,240883;Homo sapiens;;Cytoplasm;Nuclear receptor 2C2-associated protein
NR3C1;P04150;2,080384;1,00E+00;1,839568;1,00E+00;Vicino all'ER;0,240816;Homo sapiens;Cytoplasm;Cytoplasm;Glucocorticoid receptor
NRAS;P01111;1,801995;1,00E+00;1,597716;9,57E-01;Vicino all'ER;0,204279;Homo sapiens;;endosome-vesicle;GTPase NRas
NRBF2;Q96F24;1,844833;1,00E+00;1,563243;8,87E-01;Vicino all'ER;0,28159;Homo sapiens;Cytoplasm;Cytoplasm;Nuclear receptor-binding factor 2
NRBP1;Q9UHY1;2,124417;1,00E+00;1,879024;1,00E+00;Vicino all'ER;0,245393;Homo sapiens;Cytoplasm;Cytoplasm;Nuclear receptor-binding protein
NRBP2;Q9NSY0;2,216524;1,00E+00;1,977247;1,00E+00;Vicino all'ER;0,239277;Homo sapiens;Cytoplasm;Cytoplasm;Nuclear receptor-binding protein 2
NRDC;O43847;2,100769;1,00E+00;1,862973;1,00E+00;Vicino all'ER;0,237796;Homo sapiens;;Cytoplasm;Nardilysin
NRP1;O14786;1,017879;3,60E-02;0,989449;6,39E-02;Vicino all'ER;0,02843;Homo sapiens;;PM;Neuropilin-1
NRP2;O60462;1,532596;5,14E-01;1,343582;4,56E-01;Vicino all'ER;0,189014;Homo sapiens;;Golgi apparatus;Neuropilin-2
NSA2;O95478;1,005594;3,37E-02;0,8781456;2,73E-02;Vicino all'ER;0,1274484;Homo sapiens;Nucleus;Nucleus;Ribosome biogenesis protein NSA2 homolog
NSD3;Q9BZ95;1,447305;3,64E-01;1,276108;3,38E-01;Vicino all'ER;0,171197;Homo sapiens;;Nucleus;Histone-lysine N-methyltransferase NSD3
NSDHL;Q15738;0,7122249;3,99E-03;0,6638448;4,38E-03;Vicino all'ER;0,0483801;Homo sapiens;LD;ER;Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating
NSDHL;C9JDR0;2,079569;1,00E+00;1,82453;1,00E+00;Vicino all'ER;0,255039;Homo sapiens;LD;Cytoplasm;NAD(P) dependent steroid dehydrogenase-like (Fragment)
NSF;P46459;1,219047;1,16E-01;1,126652;1,55E-01;Vicino all'ER;0,092395;Homo sapiens;Golgi apparatus;PM;Vesicle-fusing ATPase
NSF;A0A994J5C5;2,111217;1,00E+00;1,869006;1,00E+00;Vicino all'ER;0,242211;Homo sapiens;Golgi apparatus;Cytoplasm;Vesicle-fusing ATPase
NSFL1C;Q9UNZ2;2,265656;1,00E+00;2,037164;1,00E+00;Vicino all'ER;0,228492;Homo sapiens;;protein-complex;NSFL1 cofactor p47
NSMAF;Q92636;1,9985;1,00E+00;1,761379;1,00E+00;Vicino all'ER;0,237121;Homo sapiens;;Cytoplasm;Protein FAN
NSUN2;Q08J23;2,165554;1,00E+00;1,943037;1,00E+00;Vicino all'ER;0,222517;Homo sapiens;Translation;Cytoplasm;RNA cytosine C(5)-methyltransferase NSUN2
NSUN5;Q96P11;1,572142;5,85E-01;1,353997;4,76E-01;Vicino all'ER;0,218145;Homo sapiens;;Nucleus;28S rRNA (cytosine-C(5))-methyltransferase
NSUN6;Q8TEA1;2,360769;1,00E+00;2,155772;1,00E+00;Vicino all'ER;0,204997;Homo sapiens;;protein-complex;tRNA (cytosine(72)-C(5))-methyltransferase NSUN6
NT5C;Q8TCD5;2,068706;1,00E+00;1,816565;1,00E+00;Vicino all'ER;0,252141;Homo sapiens;Cytoplasm;Cytoplasm;5'(3')-deoxyribonucleotidase, cytosolic type
NT5C2;"A0A6Q8PHP0;P49902";2,099781;1,00E+00;1,870759;1,00E+00;Vicino all'ER;0,229022;Homo sapiens;;Cytoplasm;Cytosolic purine 5'-nucleotidase
NT5C3A;"Q9H0P0;X6RM59";1,645695;7,27E-01;1,395559;5,59E-01;Vicino all'ER;0,250136;Homo sapiens;Mitochondria;Mitochondria;"Cytosolic 5'-nucleotidase 3A;5'-nucleotidase"
NT5DC1;Q5TFE4;2,123984;1,00E+00;1,876758;1,00E+00;Vicino all'ER;0,247226;Homo sapiens;;Cytoplasm;5'-nucleotidase domain-containing protein 1
NT5DC2;Q9H857;0,7430862;5,23E-03;0,6754585;5,05E-03;Vicino all'ER;0,0676277;Homo sapiens;Mitochondria;Mitochondria;5'-nucleotidase domain-containing protein 2
NT5DC3;Q86UY8;0,8694498;1,27E-02;0,7430628;9,07E-03;Vicino all'ER;0,126387;Homo sapiens;Mitochondria;Nucleus;5'-nucleotidase domain-containing protein 3
NT5E;P21589;1,258852;1,46E-01;1,177521;2,03E-01;Vicino all'ER;0,081331;Homo sapiens;;PM;5'-nucleotidase
NTAN1;Q96AB6;2,128436;1,00E+00;1,886583;1,00E+00;Vicino all'ER;0,241853;Homo sapiens;;Cytoplasm;Protein N-terminal asparagine amidohydrolase
NTM;"B7Z1Z5;F6WFR7;F8W8Y1;Q9P121";1,841337;1,00E+00;1,62781;1,00E+00;Vicino all'ER;0,213527;Homo sapiens;;endosome-vesicle;Neurotrimin
NTMT1;Q9BV86;2,141762;1,00E+00;1,894401;1,00E+00;Vicino all'ER;0,247361;Homo sapiens;;Cytoplasm;N-terminal Xaa-Pro-Lys N-methyltransferase 1
NTPCR;Q9BSD7;1,87895;1,00E+00;1,669402;1,00E+00;Vicino all'ER;0,209548;Homo sapiens;;Translation;Cancer-related nucleoside-triphosphatase
NUB1;"H3BM74;Q9Y5A7";2,298249;1,00E+00;2,043533;1,00E+00;Vicino all'ER;0,254716;Homo sapiens;;Cytoplasm;NEDD8 ultimate buster 1
NUBP1;P53384;2,130849;1,00E+00;1,877031;1,00E+00;Vicino all'ER;0,253818;Homo sapiens;Cytoplasm;Cytoplasm;Cytosolic Fe-S cluster assembly factor NUBP1
NUBP2;Q9Y5Y2;2,11913;1,00E+00;1,872717;1,00E+00;Vicino all'ER;0,246413;Homo sapiens;;Cytoplasm;Cytosolic Fe-S cluster assembly factor NUBP2
NUBPL;Q8TB37;1,21083;1,11E-01;1,014359;7,68E-02;Vicino all'ER;0,196471;Homo sapiens;Mitochondria;Mitochondria;Iron-sulfur cluster transfer protein NUBPL
NUCB1;"A0A9L9PXH6;Q02818";1,12963;7,04E-02;0,9923046;6,53E-02;Vicino all'ER;0,1373254;Homo sapiens;Golgi apparatus;Golgi apparatus;Nucleobindin-1
NUCB2;P80303;1,196616;1,02E-01;1,033563;8,75E-02;Vicino all'ER;0,163053;Homo sapiens;Golgi apparatus;Golgi apparatus;Nucleobindin-2
NUCKS1;Q9H1E3;1,833934;1,00E+00;1,640214;1,00E+00;Vicino all'ER;0,19372;Homo sapiens;;Cytoplasm;Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1
NUDC;Q9Y266;2,072226;1,00E+00;1,830975;1,00E+00;Vicino all'ER;0,241251;Homo sapiens;;Cytoplasm;Nuclear migration protein nudC
NUDCD1;Q96RS6;2,225373;1,00E+00;1,994643;1,00E+00;Vicino all'ER;0,23073;Homo sapiens;;protein-complex;NudC domain-containing protein 1
NUDCD2;Q8WVJ2;2,112685;1,00E+00;1,869406;1,00E+00;Vicino all'ER;0,243279;Homo sapiens;;Cytoplasm;NudC domain-containing protein 2
NUDCD3;Q8IVD9;2,09183;1,00E+00;1,8477;1,00E+00;Vicino all'ER;0,24413;Homo sapiens;Cytoplasm;Cytoplasm;NudC domain-containing protein 3
NUDT1;P36639;2,126729;1,00E+00;1,884815;1,00E+00;Vicino all'ER;0,241914;Homo sapiens;;Cytoplasm;Oxidized purine nucleoside triphosphate hydrolase
NUDT11;Q96G61;2,112793;1,00E+00;1,86958;1,00E+00;Vicino all'ER;0,243213;Homo sapiens;;Cytoplasm;Diphosphoinositol polyphosphate phosphohydrolase 3-beta
NUDT15;Q9NV35;2,115587;1,00E+00;1,856905;1,00E+00;Vicino all'ER;0,258682;Homo sapiens;Nucleus;Cytoplasm;Nucleotide triphosphate diphosphatase NUDT15
NUDT16L1;"K7EIN2;Q9BRJ7";1,87059;1,00E+00;1,711309;1,00E+00;Vicino all'ER;0,159281;Homo sapiens;;protein-complex;"Nudix hydrolase 16 like 1 (Fragment);Tudor-interacting repair regulator protein"
NUDT2;P50583;2,102093;1,00E+00;1,854991;1,00E+00;Vicino all'ER;0,247102;Homo sapiens;;Cytoplasm;Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
NUDT21;O43809;0,9408141;2,14E-02;0,7750206;1,15E-02;Vicino all'ER;0,1657935;Homo sapiens;;Nucleus;Cleavage and polyadenylation specificity factor subunit 5
NUDT5;Q9UKK9;2,053711;1,00E+00;1,822176;1,00E+00;Vicino all'ER;0,231535;Homo sapiens;;Cytoplasm;ADP-sugar pyrophosphatase
NUDT9;Q9BW91;1,812786;1,00E+00;1,574596;9,09E-01;Vicino all'ER;0,23819;Homo sapiens;;Cytoplasm;ADP-ribose pyrophosphatase, mitochondrial
NUFIP2;Q7Z417;1,075446;5,15E-02;1,019541;7,91E-02;Vicino all'ER;0,055905;Homo sapiens;;Mitochondria;FMR1-interacting protein NUFIP2
NUMA1;Q14980;0,8479452;1,10E-02;0,8991849;3,20E-02;Vicino al REPLICOMA;0,0512397;Homo sapiens;;Nucleus;Nuclear mitotic apparatus protein 1
NUMB;P49757;0,7323195;4,71E-03;0,7237153;7,66E-03;Vicino all'ER;0,0086042;Homo sapiens;;PM;Protein numb homolog
NUMBL;M0QXQ4;1,316228;1,97E-01;1,240981;2,86E-01;Vicino all'ER;0,075247;Homo sapiens;;PM;NUMB like endocytic adaptor protein (Fragment)
NUMBL;A0A0C4DGH3;1,626069;6,90E-01;1,476694;7,23E-01;Vicino all'ER;0,149375;Homo sapiens;;endosome-vesicle;Numb-like protein
NUP107;P57740;0,7356425;4,93E-03;0,6650392;4,49E-03;Vicino all'ER;0,0706033;Homo sapiens;Nucleus;Nucleus;Nuclear pore complex protein Nup107
NUP133;Q8WUM0;0,7497001;5,43E-03;0,733986;8,44E-03;Vicino all'ER;0,0157141;Homo sapiens;;Nucleus;Nuclear pore complex protein Nup133
NUP153;P49790;0,8321676;9,76E-03;0,8213401;1,69E-02;Vicino all'ER;0,0108275;Homo sapiens;;Nucleus;Nuclear pore complex protein Nup153
